,,high,neutral,low,average
ACLY,ENSG00000131473.12,15.0,72.0,35.0,-0.037344262295081934
ACMSD,ENSG00000153086.9,8.0,92.0,22.0,-0.03591803278688526
ACN9,ENSG00000196636.7,26.0,86.0,10.0,0.15916393442622953
ACO1,ENSG00000122729.13,4.0,90.0,28.0,-0.04521311475409839
ACO2,ENSG00000100412.11,5.0,79.0,38.0,-0.13225409836065574
ACOT1,ENSG00000184227.3,3.0,81.0,38.0,-0.10430327868852463
ACOT11,ENSG00000162390.13,10.0,87.0,25.0,-0.036295081967213136
ACOT12,ENSG00000172497.4,9.0,85.0,28.0,-0.04287704918032788
ACOT13,ENSG00000112304.6,19.0,95.0,8.0,0.07463114754098361
ACOT2,ENSG00000119673.10,3.0,81.0,38.0,-0.10430327868852463
ACOT4,ENSG00000177465.4,3.0,81.0,38.0,-0.10430327868852463
ACOT6,ENSG00000205669.2,3.0,81.0,38.0,-0.1049426229508197
ACOT7,ENSG00000097021.14,1.0,78.0,43.0,-0.16636065573770492
ACOT8,ENSG00000101473.12,40.0,78.0,4.0,0.23612295081967216
ACOX1,ENSG00000161533.7,26.0,77.0,19.0,0.13940163934426225
ACOX2,ENSG00000168306.8,8.0,83.0,31.0,-0.05844262295081972
ACOX3,ENSG00000087008.11,2.0,82.0,38.0,-0.12218852459016392
ACOXL,ENSG00000153093.14,8.0,98.0,16.0,0.011918032786885241
ACP1,ENSG00000143727.11,15.0,93.0,14.0,0.037229508196721314
ACP2,ENSG00000134575.5,14.0,93.0,15.0,0.006377049180327873
ACP5,ENSG00000102575.6,13.0,95.0,14.0,0.04243442622950819
ACP6,ENSG00000162836.6,79.0,40.0,3.0,0.5765245901639344
ACPL2,ENSG00000155893.7,23.0,94.0,5.0,0.135
ACPP,ENSG00000014257.11,18.0,99.0,5.0,0.11068032786885247
ACPT,ENSG00000142513.4,13.0,92.0,17.0,0.01837704918032787
ACR,ENSG00000100312.6,7.0,78.0,37.0,-0.09431147540983606
ACRBP,ENSG00000111644.3,16.0,91.0,15.0,0.13520491803278675
ACRV1,ENSG00000134940.8,1.0,70.0,51.0,-0.18572950819672124
ACSBG1,ENSG00000103740.5,6.0,95.0,21.0,-0.06747540983606555
ACSBG2,ENSG00000130377.9,11.0,92.0,19.0,0.014098360655737708
ACSF2,ENSG00000167107.8,28.0,76.0,18.0,0.22604918032786878
ACSF3,ENSG00000176715.11,6.0,50.0,66.0,-0.23260655737704916
ACSL1,ENSG00000151726.9,5.0,90.0,27.0,-0.09125409836065575
ACSL3,ENSG00000123983.9,5.0,94.0,23.0,-0.05163934426229507
ACSL5,ENSG00000197142.6,4.0,96.0,22.0,-0.04104098360655737
ACSL6,ENSG00000164398.8,7.0,90.0,25.0,-0.02286885245901641
ACSM1,ENSG00000166743.5,33.0,80.0,9.0,0.1815245901639344
ACSM2A,ENSG00000183747.7,33.0,80.0,9.0,0.1794262295081967
ACSM2B,ENSG00000066813.10,33.0,80.0,9.0,0.17763934426229505
ACSM3,ENSG00000005187.7,33.0,80.0,9.0,0.1815245901639344
ACSM4,ENSG00000215009.5,16.0,90.0,16.0,0.0960901639344262
ACSM5,ENSG00000183549.6,33.0,80.0,9.0,0.1794918032786885
ACSS1,ENSG00000154930.10,28.0,91.0,3.0,0.16802459016393442
ACSS2,ENSG00000131069.15,33.0,86.0,3.0,0.17998360655737702
ACSS3,ENSG00000111058.3,12.0,99.0,11.0,0.05767213114754099
ACTA1,ENSG00000143632.10,78.0,42.0,2.0,0.5091311475409834
ACTA2,ENSG00000107796.8,7.0,98.0,17.0,0.021155737704918028
ACTB,ENSG00000075624.9,19.0,92.0,11.0,0.07773770491803277
ACTBL2,ENSG00000169067.2,7.0,87.0,28.0,-0.04440163934426229
ACTBP12,ENSG00000233125.2,9.0,87.0,26.0,-0.05439344262295084
ACTC1,ENSG00000159251.6,2.0,87.0,33.0,-0.09583606557377045
ACTG1,ENSG00000184009.5,27.0,73.0,22.0,0.09252459016393436
ACTG2,ENSG00000163017.9,10.0,103.0,9.0,0.031647540983606566
ACTL10,ENSG00000182584.4,29.0,90.0,3.0,0.16157377049180324
ACTL6A,ENSG00000136518.12,23.0,91.0,8.0,0.11655737704918027
ACTL6B,ENSG00000077080.5,22.0,88.0,12.0,0.10549180327868851
ACTL7A,ENSG00000187003.5,2.0,98.0,22.0,-0.06512295081967209
ACTL7B,ENSG00000148156.6,2.0,98.0,22.0,-0.06512295081967209
ACTL8,ENSG00000117148.6,3.0,74.0,45.0,-0.16318852459016395
ACTL9,ENSG00000181786.3,8.0,79.0,35.0,-0.051467213114754114
ACTN1,ENSG00000072110.9,3.0,84.0,35.0,-0.08756557377049183
